Time,Data_Filt_E0,Data_Filt_E1,Data_Filt_E6,Data_Filt_CD,On-set
3.851,4.328286201671041e-07,5.299045991236234e-07,3.909148620998754e-07,3.865502389490423e-05,0.0
3.852,4.387343984858749e-07,5.292775227735355e-07,3.946458437282473e-07,3.91114224112154e-05,0.0
3.853,4.44599399382514e-07,5.285451319245265e-07,3.983677426607676e-07,3.9528811089505657e-05,0.0
3.854,4.50380506899473e-07,5.277082091859944e-07,4.0206920430431355e-07,3.990449264336424e-05,0.0
3.855,4.560361375696169e-07,5.267708502056488e-07,4.057383199957508e-07,4.023599030228514e-05,0.0
3.856,4.6152647095805163e-07,5.257389259292209e-07,4.0936124847943937e-07,4.0521086403787154e-05,0.0
3.857,4.668139883329023e-07,5.246210211390776e-07,4.129231350859084e-07,4.0757903831965234e-05,0.0
3.858,4.718631825799757e-07,5.234297073316405e-07,4.1640953527664685e-07,4.094497026175517e-05,0.0
3.859,4.7663935947309227e-07,5.221806152847683e-07,4.198062385633104e-07,4.108118201746008e-05,0.0
3.86,4.811080639933221e-07,5.208893997687469e-07,4.230993090780818e-07,4.116569438965225e-05,0.0
3.861,4.852360986980492e-07,5.195699208132566e-07,4.262773959032378e-07,4.119783398637004e-05,0.0
3.862,4.889945243487389e-07,5.182365303873354e-07,4.293338492400577e-07,4.117707219138848e-05,0.0
3.863,4.923612769899057e-07,5.169079848771903e-07,4.3226532125432674e-07,4.110304419351353e-05,0.0
3.864,4.953203524033938e-07,5.156071850366623e-07,4.350694684459391e-07,4.097561959357664e-05,0.0
3.865,4.978592159085838e-07,5.143557766265674e-07,4.3774531006671596e-07,4.079502070783172e-05,0.0
3.866,4.999671230821928e-07,5.131693690961017e-07,4.4029419455484274e-07,4.056191406346279e-05,0.0
3.867,5.016346292686312e-07,5.120581282471759e-07,4.427185795151426e-07,4.0277422574194136e-05,0.0
3.868,5.028542154533043e-07,5.110316557961432e-07,4.450195768500387e-07,3.994309992701248e-05,0.0
