time,channel
5.356,1.0728778232223443e-05
5.36,1.0759425674370366e-05
5.364,1.0791320342286474e-05
5.367999999999999,1.0824353673109228e-05
5.372000000000001,1.0858412716525291e-05
5.376,1.0893380486284705e-05
5.38,1.0929136349756675e-05
5.3839999999999995,1.0965556449836254e-05
5.388,1.1002514153785945e-05
5.392,1.1039880523738961e-05
5.396,1.1077524803286027e-05
5.4,1.1115314914053779e-05
5.404,1.1153117955792157e-05
5.4079999999999995,1.1190800703266128e-05
5.412000000000001,1.122823009310926e-05
5.416,1.1265273693709279e-05
5.42,1.1301800151161148e-05
5.4239999999999995,1.1337679604526368e-05
5.428,1.137278406460359e-05
5.432,1.1406987752679102e-05
5.436,1.1440167399175893e-05
5.44,1.1472202505766267e-05
5.444,1.1502975577101634e-05
5.4479999999999995,1.1532372329355458e-05
5.452000000000001,1.1560281882841512e-05
5.456,1.1586596945867792e-05
5.46,1.161121399692103e-05
5.4639999999999995,1.1634033471946639e-05
5.468,1.1654959962706074e-05
5.472,1.1673902431113179e-05
5.476,1.1690774443269216e-05
5.48,1.1705494425636599e-05
5.484,1.1717985944414971e-05
5.4879999999999995,1.1728178007949562e-05
5.492000000000001,1.1736005391205414e-05
5.496,1.1741408980901235e-05
5.5,1.1744336139288971e-05
5.504,1.1744741083304647e-05
5.507999999999999,1.174258527393121e-05
5.5120000000000005,1.173783780855834e-05
5.516,1.173047580732687e-05
5.5200000000000005,1.1720484783053952e-05
5.524,1.1707858983323991e-05
5.5280000000000005,1.1692601692720717e-05
5.532,1.1674725483137092e-05
5.5360000000000005,1.1654252401042025e-05
5.54,1.163121408311159e-05
5.5440000000000005,1.1605651795922162e-05
5.547999999999999,1.1577616400488263e-05
5.5520000000000005,1.1547168246626837e-05
5.556,1.1514377004359797e-05
5.5600000000000005,1.1479321440014198e-05
5.564,1.1442089144295596e-05
5.5680000000000005,1.1402776219269621e-05
5.572,1.1361486931254414e-05
5.5760000000000005,1.131833333700626e-05
5.58,1.1273434890943616e-05
5.5840000000000005,1.1226918041119726e-05
5.587999999999999,1.1178915820967584e-05
5.5920000000000005,1.1129567442549547e-05
5.596,1.1079017895451961e-05
5.6000000000000005,1.1027417553893271e-05
5.604,1.0974921793235789e-05
5.6080000000000005,1.0921690615911522e-05
5.612,1.086788828565941e-05
5.6160000000000005,1.0813682967779874e-05
5.62,1.0759246371837385e-05
5.6240000000000006,1.070475339197104e-05
5.627999999999999,1.0650381738734068e-05
5.632000000000001,1.0596311555188366e-05
5.636,1.0542725008960313e-05
5.64,1.0489805851236319e-05
5.644,1.043773893324336e-05
5.648,1.0386709670977269e-05
5.652,1.0336903450831634e-05
5.656000000000001,1.0288504973036507e-05
5.66,1.0241697535522446e-05
5.664,1.0196662265903523e-05
5.667999999999999,1.0153577312239927e-05
5.672000000000001,1.0112617004167545e-05
5.676,1.0073950995942883e-05
5.68,1.0037743402851944e-05
5.684,1.0004151942353808e-05
5.688,9.973327090883458e-06
5.692,9.945411266298666e-06
5.696000000000001,9.920538044841123e-06
5.7,9.898831420536416e-06
5.704,9.880405114260004e-06
5.707999999999999,9.865361939188504e-06
5.712000000000001,9.85379322895398e-06
5.716,9.84577833434536e-06
5.72,9.841384193641728e-06
5.724,9.84066498053771e-06
5.728,9.843661832192324e-06
5.732,9.850402658301533e-06
5.736000000000001,9.860902030399026e-06
5.74,9.875161149044395e-06
5.744,9.893167885395244e-06
5.747999999999999,9.91489689296279e-06
5.752000000000001,9.94030978498639e-06
5.756,9.96935537259385e-06
5.76,1.0001969958493283e-05
5.763999999999999,1.0038077680175297e-05
5.768,1.0077590895522682e-05
5.772,1.0120410602578296e-05
5.776,1.0166426884185687e-05
5.78,1.0215519367430034e-05
5.784,1.0267557687869897e-05
5.787999999999999,1.0322401950407385e-05
5.792000000000001,1.0379903182477287e-05
5.796,1.0439903779858015e-05
5.8,1.0502237949182827e-05
5.803999999999999,1.0566732153310013e-05
5.808,1.063320556622209e-05
5.812,1.0701470543636708e-05
5.816,1.077133311459492e-05
5.82,1.0842593498304832e-05
5.824,1.0915046649590762e-05
5.827999999999999,1.0988482835479192e-05
5.832000000000001,1.1062688244783722e-05
5.836,1.11374456319372e-05
5.84,1.1212534995531226e-05
